ASSIGNMENT_ID,FLIGHT_ID,STAFF_CODE,DUTY_ROLE
100240,1048,JL0CA123,チーフCA
100241,1048,JL0CA046,CA
100242,1048,JL0CA073,CA
100243,1048,JL0CA116,CA
100244,1049,JL0CA121,チーフCA
100245,1049,JL0CA073,CA
100246,1049,JL0CA077,CA
100247,1049,JL0CA177,CA
100248,1049,JL0CA148,CA
100249,1049,JL0CA114,CA
100250,1050,JL0CA097,チーフCA
100251,1050,JL0CA124,CA
100252,1050,JL0CA118,CA
100253,1050,JL0CA029,CA
100254,1050,JL0CA177,CA
100255,1050,JL0CA072,CA
100256,1051,JL0CA050,チーフCA
100257,1051,JL0CA065,CA
100258,1051,JL0CA058,CA
100259,1051,JL0CA123,CA
100260,1051,JL0CA165,CA
100261,1051,JL0CA199,CA
100262,1051,JL0CA045,CA
100263,1052,JL0CA011,チーフCA
100264,1052,JL0CA094,CA
100265,1052,JL0CA058,CA
100266,1052,JL0CA109,CA
100267,1052,JL0CA110,CA
100268,1053,JL0CA009,チーフCA
100269,1053,JL0CA070,CA
100270,1053,JL0CA138,CA
100271,1053,JL0CA180,CA
100272,1053,JL0CA112,CA
100273,1054,JL0CA002,チーフCA
100274,1054,JL0CA059,CA
100275,1054,JL0CA138,CA
100276,1055,JL0CA005,チーフCA
100277,1055,JL0CA045,CA
100278,1055,JL0CA199,CA
100279,1055,JL0CA164,CA
100280,1055,JL0CA054,CA
100281,1056,JL0CA174,チーフCA
100282,1056,JL0CA084,CA
100283,1056,JL0CA169,CA
100284,1056,JL0CA182,CA
100285,1056,JL0CA163,CA
100286,1056,JL0CA087,CA
100287,1056,JL0CA114,CA
100288,1056,JL0CA128,CA
100289,1057,JL0CA147,チーフCA
100290,1057,JL0CA152,CA
100291,1057,JL0CA013,CA
100292,1058,JL0CA044,チーフCA
100293,1058,JL0CA168,CA
100294,1058,JL0CA057,CA
100295,1058,JL0CA195,CA
100296,1058,JL0CA145,CA
100297,1059,JL0CA171,チーフCA
100298,1059,JL0CA003,CA
100299,1059,JL0CA090,CA
100300,1059,JL0CA044,CA
100301,1059,JL0CA016,CA
100302,1060,JL0CA123,チーフCA
100303,1060,JL0CA013,CA
100304,1060,JL0CA178,CA
100305,1060,JL0CA019,CA
100306,1060,JL0CA080,CA
100307,1060,JL0CA099,CA
100308,1060,JL0CA031,CA
100309,1060,JL0CA042,CA
100310,1061,JL0CA067,チーフCA
100311,1061,JL0CA016,CA
100312,1061,JL0CA060,CA
100313,1061,JL0CA136,CA
100314,1061,JL0CA007,CA
100315,1061,JL0CA092,CA
100316,1062,JL0CA014,チーフCA
100317,1062,JL0CA005,CA
100318,1062,JL0CA142,CA
100319,1063,JL0CA143,チーフCA
100320,1063,JL0CA087,CA
100321,1063,JL0CA168,CA
100322,1063,JL0CA128,CA
100323,1063,JL0CA029,CA
100324,1063,JL0CA139,CA
100325,1063,JL0CA085,CA
100326,1063,JL0CA115,CA
100327,1064,JL0CA181,チーフCA
100328,1064,JL0CA137,CA
100329,1064,JL0CA125,CA
100330,1064,JL0CA008,CA
100331,1065,JL0CA003,チーフCA
100332,1065,JL0CA101,CA
100333,1065,JL0CA005,CA
100334,1066,JL0CA143,チーフCA
100335,1066,JL0CA164,CA
100336,1066,JL0CA024,CA
100337,1066,JL0CA029,CA
100338,1066,JL0CA155,CA
100339,1066,JL0CA199,CA
100340,1066,JL0CA057,CA
100341,1066,JL0CA162,CA
100342,1067,JL0CA148,チーフCA
100343,1067,JL0CA142,CA
100344,1067,JL0CA112,CA
100345,1067,JL0CA143,CA
100346,1067,JL0CA178,CA
100347,1067,JL0CA014,CA
100348,1067,JL0CA100,CA
100349,1068,JL0CA152,チーフCA
100350,1068,JL0CA134,CA
100351,1068,JL0CA173,CA
100352,1068,JL0CA055,CA
100353,1068,JL0CA020,CA
100354,1068,JL0CA137,CA
100355,1069,JL0CA029,チーフCA
100356,1069,JL0CA166,CA
100357,1069,JL0CA135,CA
100358,1069,JL0CA199,CA
100359,1069,JL0CA035,CA
100360,1069,JL0CA054,CA
100361,1070,JL0CA066,チーフCA
100362,1070,JL0CA071,CA
100363,1070,JL0CA072,CA
100364,1071,JL0CA138,チーフCA
100365,1071,JL0CA088,CA
100366,1071,JL0CA022,CA
100367,1071,JL0CA159,CA
100368,1072,JL0CA098,チーフCA
100369,1072,JL0CA179,CA
100370,1072,JL0CA141,CA
100371,1072,JL0CA007,CA
100372,1072,JL0CA086,CA
100373,1072,JL0CA051,CA
100374,1072,JL0CA108,CA
100375,1073,JL0CA180,チーフCA
100376,1073,JL0CA179,CA
100377,1073,JL0CA115,CA
100378,1074,JL0CA036,チーフCA
100379,1074,JL0CA004,CA
100380,1074,JL0CA102,CA
100381,1074,JL0CA064,CA
100382,1074,JL0CA051,CA
100383,1074,JL0CA050,CA
100384,1075,JL0CA082,チーフCA
100385,1075,JL0CA110,CA
100386,1075,JL0CA086,CA
100387,1075,JL0CA108,CA
100388,1075,JL0CA085,CA
100389,1075,JL0CA011,CA
100390,1075,JL0CA101,CA
100391,1076,JL0CA120,チーフCA
100392,1076,JL0CA163,CA
100393,1076,JL0CA142,CA
100394,1076,JL0CA138,CA
100395,1076,JL0CA067,CA
100396,1077,JL0CA094,チーフCA
100397,1077,JL0CA041,CA
100398,1077,JL0CA011,CA
100399,1077,JL0CA124,CA
100400,1077,JL0CA196,CA
100401,1077,JL0CA126,CA
100402,1077,JL0CA183,CA
100403,1078,JL0CA169,チーフCA
100404,1078,JL0CA028,CA
100405,1078,JL0CA072,CA
100406,1078,JL0CA079,CA
100407,1078,JL0CA062,CA
100408,1078,JL0CA188,CA
100409,1078,JL0CA197,CA
100410,1079,JL0CA146,チーフCA
100411,1079,JL0CA154,CA
100412,1079,JL0CA136,CA
100413,1079,JL0CA055,CA
100414,1079,JL0CA117,CA
100415,1080,JL0CA158,チーフCA
100416,1080,JL0CA022,CA
100417,1080,JL0CA049,CA
100418,1081,JL0CA080,チーフCA
100419,1081,JL0CA062,CA
100420,1081,JL0CA136,CA
100421,1081,JL0CA173,CA
100422,1081,JL0CA059,CA
100423,1081,JL0CA084,CA
100424,1082,JL0CA071,チーフCA
100425,1082,JL0CA002,CA
100426,1082,JL0CA006,CA
100427,1082,JL0CA138,CA
100428,1083,JL0CA107,チーフCA
100429,1083,JL0CA121,CA
100430,1083,JL0CA144,CA
100431,1084,JL0CA062,チーフCA
100432,1084,JL0CA156,CA
100433,1084,JL0CA060,CA
100434,1084,JL0CA181,CA
100435,1084,JL0CA137,CA
100436,1084,JL0CA052,CA
100437,1084,JL0CA125,CA
100438,1085,JL0CA146,チーフCA
100439,1085,JL0CA084,CA
100440,1085,JL0CA037,CA
100441,1085,JL0CA102,CA
100442,1085,JL0CA078,CA
100443,1086,JL0CA141,チーフCA
100444,1086,JL0CA158,CA
100445,1086,JL0CA103,CA
100446,1086,JL0CA095,CA
100447,1086,JL0CA134,CA
100448,1086,JL0CA011,CA
100449,1086,JL0CA096,CA
100450,1086,JL0CA070,CA
100451,1087,JL0CA012,チーフCA
100452,1087,JL0CA200,CA
100453,1087,JL0CA022,CA
100454,1088,JL0CA090,チーフCA
100455,1088,JL0CA134,CA
100456,1088,JL0CA006,CA
100457,1088,JL0CA193,CA
100458,1088,JL0CA103,CA
100459,1088,JL0CA141,CA
100460,1088,JL0CA163,CA
100461,1089,JL0CA128,チーフCA
100462,1089,JL0CA090,CA
100463,1089,JL0CA174,CA
100464,1089,JL0CA041,CA
100465,1089,JL0CA003,CA
100466,1089,JL0CA067,CA
100467,1089,JL0CA126,CA
100468,1089,JL0CA187,CA
100469,1090,JL0CA107,チーフCA
100470,1090,JL0CA009,CA
100471,1090,JL0CA068,CA
100472,1090,JL0CA140,CA
100473,1090,JL0CA018,CA
100474,1090,JL0CA001,CA
100475,1090,JL0CA081,CA
100476,1090,JL0CA100,CA
100477,1091,JL0CA180,チーフCA
100478,1091,JL0CA067,CA
100479,1091,JL0CA003,CA
100480,1091,JL0CA048,CA
100481,1091,JL0CA027,CA
100482,1091,JL0CA165,CA
100483,1091,JL0CA185,CA
100484,1091,JL0CA118,CA
100485,1092,JL0CA066,チーフCA
100486,1092,JL0CA049,CA
100487,1092,JL0CA079,CA
100488,1092,JL0CA008,CA
100489,1092,JL0CA009,CA
100490,1092,JL0CA046,CA
100491,1092,JL0CA090,CA
100492,1092,JL0CA111,CA
100493,1093,JL0CA073,チーフCA
100494,1093,JL0CA111,CA
100495,1093,JL0CA135,CA
100496,1093,JL0CA022,CA
100497,1093,JL0CA077,CA
100498,1093,JL0CA004,CA
100499,1094,JL0CA194,チーフCA
100500,1094,JL0CA051,CA
100501,1094,JL0CA030,CA
100502,1094,JL0CA163,CA
100503,1094,JL0CA120,CA
100504,1094,JL0CA098,CA
100505,1095,JL0CA199,チーフCA
100506,1095,JL0CA131,CA
100507,1095,JL0CA175,CA
100508,1095,JL0CA063,CA
100509,1095,JL0CA050,CA
100510,1095,JL0CA082,CA
100511,1096,JL0CA095,チーフCA
100512,1096,JL0CA100,CA
100513,1096,JL0CA199,CA
100514,1096,JL0CA006,CA
100515,1096,JL0CA040,CA
100516,1096,JL0CA081,CA
100517,1096,JL0CA187,CA
100518,1096,JL0CA133,CA
100519,1097,JL0CA076,チーフCA
100520,1097,JL0CA134,CA
100521,1097,JL0CA100,CA
100522,1097,JL0CA013,CA
100523,1097,JL0CA148,CA
100524,1097,JL0CA062,CA
100525,1098,JL0CA109,チーフCA
100526,1098,JL0CA073,CA
100527,1098,JL0CA005,CA
100528,1098,JL0CA177,CA
100529,1098,JL0CA132,CA
100530,1098,JL0CA111,CA
100531,1098,JL0CA026,CA
100532,1099,JL0CA045,チーフCA
100533,1099,JL0CA159,CA
100534,1099,JL0CA117,CA
100535,1099,JL0CA171,CA
100536,1099,JL0CA031,CA
100537,1100,JL0CA080,チーフCA
100538,1100,JL0CA031,CA
100539,1100,JL0CA132,CA
100540,1100,JL0CA014,CA
100541,1100,JL0CA038,CA
100542,1100,JL0CA157,CA
100543,1100,JL0CA021,CA
100544,1100,JL0CA013,CA
100545,1101,JL0CA024,チーフCA
100546,1101,JL0CA012,CA
100547,1101,JL0CA047,CA
100548,1101,JL0CA033,CA
100549,1101,JL0CA034,CA
100550,1101,JL0CA066,CA
100551,1101,JL0CA162,CA
100552,1101,JL0CA003,CA
100553,1102,JL0CA088,チーフCA
100554,1102,JL0CA015,CA
100555,1102,JL0CA183,CA
100556,1102,JL0CA051,CA
100557,1102,JL0CA131,CA
100558,1102,JL0CA160,CA
100559,1103,JL0CA192,チーフCA
100560,1103,JL0CA142,CA
100561,1103,JL0CA061,CA
100562,1104,JL0CA005,チーフCA
100563,1104,JL0CA010,CA
100564,1104,JL0CA044,CA
100565,1104,JL0CA032,CA
100566,1104,JL0CA117,CA
100567,1104,JL0CA096,CA
100568,1105,JL0CA138,チーフCA
100569,1105,JL0CA188,CA
100570,1105,JL0CA189,CA
100571,1105,JL0CA053,CA
100572,1105,JL0CA093,CA
100573,1105,JL0CA096,CA
100574,1106,JL0CA181,チーフCA
100575,1106,JL0CA166,CA
100576,1106,JL0CA021,CA
100577,1106,JL0CA127,CA
100578,1107,JL0CA013,チーフCA
100579,1107,JL0CA103,CA
100580,1107,JL0CA062,CA
100581,1108,JL0CA177,チーフCA
100582,1108,JL0CA094,CA
100583,1108,JL0CA107,CA
100584,1108,JL0CA091,CA
100585,1108,JL0CA175,CA
100586,1109,JL0CA189,チーフCA
100587,1109,JL0CA141,CA
100588,1109,JL0CA074,CA
100589,1109,JL0CA007,CA
100590,1109,JL0CA193,CA
100591,1109,JL0CA120,CA
100592,1110,JL0CA094,チーフCA
100593,1110,JL0CA151,CA
100594,1110,JL0CA044,CA
100595,1110,JL0CA081,CA
100596,1111,JL0CA087,チーフCA
100597,1111,JL0CA069,CA
100598,1111,JL0CA187,CA
100599,1111,JL0CA009,CA
100600,1112,JL0CA025,チーフCA
100601,1112,JL0CA143,CA
100602,1112,JL0CA172,CA
100603,1112,JL0CA182,CA
100604,1113,JL0CA007,チーフCA
100605,1113,JL0CA169,CA
100606,1113,JL0CA111,CA
100607,1113,JL0CA075,CA
100608,1113,JL0CA151,CA
100609,1113,JL0CA105,CA
100610,1113,JL0CA112,CA
100611,1113,JL0CA010,CA
100612,1114,JL0CA033,チーフCA
100613,1114,JL0CA192,CA
100614,1114,JL0CA024,CA
100615,1114,JL0CA114,CA
100616,1114,JL0CA172,CA
100617,1114,JL0CA167,CA
100618,1115,JL0CA012,チーフCA
100619,1115,JL0CA144,CA
100620,1115,JL0CA190,CA
100621,1115,JL0CA023,CA
100622,1116,JL0CA041,チーフCA
100623,1116,JL0CA054,CA
100624,1116,JL0CA096,CA
100625,1116,JL0CA019,CA
100626,1116,JL0CA156,CA
100627,1116,JL0CA200,CA
100628,1116,JL0CA171,CA
100629,1116,JL0CA005,CA
100630,1117,JL0CA012,チーフCA
100631,1117,JL0CA167,CA
100632,1117,JL0CA109,CA
100633,1117,JL0CA168,CA
100634,1117,JL0CA032,CA
100635,1118,JL0CA178,チーフCA
100636,1118,JL0CA166,CA
100637,1118,JL0CA089,CA
100638,1118,JL0CA070,CA
100639,1118,JL0CA060,CA
100640,1118,JL0CA037,CA
100641,1118,JL0CA038,CA
100642,1119,JL0CA176,チーフCA
100643,1119,JL0CA107,CA
100644,1119,JL0CA160,CA
100645,1119,JL0CA018,CA
100646,1119,JL0CA041,CA
100647,1120,JL0CA187,チーフCA
100648,1120,JL0CA161,CA
100649,1120,JL0CA067,CA
100650,1121,JL0CA188,チーフCA
100651,1121,JL0CA022,CA
100652,1121,JL0CA059,CA
100653,1121,JL0CA036,CA
100654,1121,JL0CA027,CA
100655,1122,JL0CA107,チーフCA
100656,1122,JL0CA009,CA
100657,1122,JL0CA101,CA
100658,1122,JL0CA027,CA
100659,1122,JL0CA185,CA
100660,1122,JL0CA073,CA
100661,1122,JL0CA064,CA
100662,1123,JL0CA010,チーフCA
100663,1123,JL0CA163,CA
100664,1123,JL0CA184,CA
100665,1123,JL0CA063,CA
100666,1123,JL0CA015,CA
100667,1123,JL0CA074,CA
100668,1123,JL0CA102,CA
100669,1124,JL0CA149,チーフCA
100670,1124,JL0CA192,CA
100671,1124,JL0CA092,CA
100672,1124,JL0CA049,CA
100673,1124,JL0CA061,CA
100674,1124,JL0CA200,CA
100675,1124,JL0CA044,CA
100676,1124,JL0CA081,CA
100677,1125,JL0CA198,チーフCA
100678,1125,JL0CA016,CA
100679,1125,JL0CA190,CA
100680,1125,JL0CA066,CA
100681,1125,JL0CA048,CA
100682,1125,JL0CA107,CA
100683,1125,JL0CA057,CA
100684,1126,JL0CA121,チーフCA
100685,1126,JL0CA014,CA
100686,1126,JL0CA158,CA
100687,1126,JL0CA084,CA
100688,1126,JL0CA038,CA
100689,1126,JL0CA022,CA
100690,1126,JL0CA063,CA
100691,1126,JL0CA010,CA
100692,1127,JL0CA003,チーフCA
100693,1127,JL0CA077,CA
100694,1127,JL0CA150,CA
100695,1127,JL0CA096,CA
100696,1127,JL0CA001,CA
100697,1127,JL0CA108,CA
100698,1127,JL0CA189,CA
100699,1128,JL0CA110,チーフCA
100700,1128,JL0CA147,CA
100701,1128,JL0CA111,CA
100702,1128,JL0CA107,CA
100703,1128,JL0CA140,CA
100704,1128,JL0CA158,CA
100705,1129,JL0CA100,チーフCA
100706,1129,JL0CA093,CA
100707,1129,JL0CA163,CA
100708,1129,JL0CA147,CA
100709,1129,JL0CA133,CA
100710,1129,JL0CA105,CA
100711,1129,JL0CA009,CA
100712,1130,JL0CA015,チーフCA
100713,1130,JL0CA103,CA
100714,1130,JL0CA116,CA
100715,1130,JL0CA163,CA
100716,1130,JL0CA125,CA
100717,1130,JL0CA192,CA
100718,1131,JL0CA106,チーフCA
100719,1131,JL0CA112,CA
100720,1131,JL0CA105,CA
100721,1131,JL0CA061,CA
100722,1131,JL0CA186,CA
100723,1131,JL0CA175,CA
100724,1132,JL0CA184,チーフCA
100725,1132,JL0CA173,CA
100726,1132,JL0CA041,CA
100727,1132,JL0CA126,CA
100728,1132,JL0CA030,CA
100729,1132,JL0CA054,CA
100730,1133,JL0CA045,チーフCA
100731,1133,JL0CA037,CA
100732,1133,JL0CA135,CA
100733,1133,JL0CA132,CA
100734,1134,JL0CA193,チーフCA
100735,1134,JL0CA164,CA
100736,1134,JL0CA179,CA
100737,1134,JL0CA019,CA
100738,1134,JL0CA127,CA
100739,1134,JL0CA011,CA
100740,1135,JL0CA132,チーフCA
100741,1135,JL0CA131,CA
100742,1135,JL0CA066,CA
100743,1135,JL0CA145,CA
100744,1135,JL0CA123,CA
100745,1135,JL0CA194,CA
100746,1135,JL0CA100,CA
100747,1136,JL0CA093,チーフCA
100748,1136,JL0CA131,CA
100749,1136,JL0CA056,CA
100750,1137,JL0CA163,チーフCA
100751,1137,JL0CA016,CA
100752,1137,JL0CA182,CA
100753,1138,JL0CA048,チーフCA
100754,1138,JL0CA156,CA
100755,1138,JL0CA095,CA
100756,1138,JL0CA101,CA
100757,1138,JL0CA045,CA
100758,1138,JL0CA088,CA
100759,1138,JL0CA047,CA
100760,1138,JL0CA124,CA
100761,1139,JL0CA024,チーフCA
100762,1139,JL0CA006,CA
100763,1139,JL0CA177,CA
100764,1139,JL0CA021,CA
100765,1139,JL0CA044,CA
100766,1140,JL0CA073,チーフCA
100767,1140,JL0CA098,CA
100768,1140,JL0CA159,CA
100769,1140,JL0CA141,CA
100770,1140,JL0CA097,CA
100771,1140,JL0CA173,CA
100772,1140,JL0CA076,CA
100773,1140,JL0CA050,CA
100774,1141,JL0CA059,チーフCA
100775,1141,JL0CA029,CA
100776,1141,JL0CA093,CA
100777,1141,JL0CA087,CA
100778,1141,JL0CA196,CA
100779,1141,JL0CA102,CA
100780,1141,JL0CA108,CA
100781,1141,JL0CA027,CA
100782,1142,JL0CA122,チーフCA
100783,1142,JL0CA154,CA
100784,1142,JL0CA035,CA
100785,1142,JL0CA118,CA
100786,1142,JL0CA130,CA
100787,1142,JL0CA042,CA
100788,1143,JL0CA173,チーフCA
100789,1143,JL0CA050,CA
100790,1143,JL0CA142,CA
100791,1143,JL0CA153,CA
100792,1143,JL0CA134,CA
100793,1143,JL0CA081,CA
100794,1143,JL0CA163,CA
100795,1143,JL0CA018,CA
100796,1144,JL0CA006,チーフCA
100797,1144,JL0CA058,CA
100798,1144,JL0CA107,CA
100799,1144,JL0CA078,CA
100800,1144,JL0CA012,CA
100801,1144,JL0CA115,CA
100802,1145,JL0CA152,チーフCA
100803,1145,JL0CA191,CA
100804,1145,JL0CA187,CA
100805,1145,JL0CA193,CA
100806,1145,JL0CA129,CA
100807,1145,JL0CA161,CA
100808,1145,JL0CA165,CA
100809,1145,JL0CA052,CA
100810,1146,JL0CA120,チーフCA
100811,1146,JL0CA155,CA
100812,1146,JL0CA081,CA
100813,1146,JL0CA043,CA
100814,1146,JL0CA175,CA
100815,1147,JL0CA105,チーフCA
100816,1147,JL0CA085,CA
100817,1147,JL0CA055,CA
100818,1147,JL0CA176,CA
100819,1148,JL0CA116,チーフCA
100820,1148,JL0CA098,CA
100821,1148,JL0CA016,CA
100822,1148,JL0CA075,CA
100823,1149,JL0CA041,チーフCA
100824,1149,JL0CA106,CA
100825,1149,JL0CA196,CA
100826,1149,JL0CA112,CA
100827,1149,JL0CA139,CA
100828,1150,JL0CA022,チーフCA
100829,1150,JL0CA120,CA
100830,1150,JL0CA165,CA
100831,1151,JL0CA184,チーフCA
100832,1151,JL0CA086,CA
100833,1151,JL0CA088,CA
100834,1152,JL0CA133,チーフCA
100835,1152,JL0CA138,CA
100836,1152,JL0CA002,CA
100837,1152,JL0CA045,CA
100838,1152,JL0CA062,CA
100839,1152,JL0CA070,CA
100840,1152,JL0CA061,CA
100841,1152,JL0CA020,CA
