FLIGHT_ID,FLIGHT_NUMBER,SERVICE_DATE,ORIGIN_AIRPORT_CODE,DEST_AIRPORT_CODE,SCHED_DEP_DATETIME_LOCAL,ACTUAL_DEP_DATETIME_LOCAL,SCHED_ARR_DATETIME_LOCAL,ACTUAL_ARR_DATETIME_LOCAL,AIRCRAFT_CODE,SEATS_OFFERED,PAX_BOARDED,CABIN_PAX_Y,CABIN_PAX_J,CABIN_PAX_F,CANCELLATION_FLAG,CANCELLATION_REASON_CATEGORY,ARRIVAL_DELAY_MIN,ON_TIME_ARRIVAL_FLAG
1012,JL0119,2019-01-02,HND,ITM,2019-01-02 10:15,2019-01-02 10:17,2019-01-02 11:15,2019-01-02 11:29,B787-8,291,250,212,38,0,N,,14,Y
1013,JL0375,2019-01-02,HND,FUK,2019-01-02 12:30,2019-01-02 12:32,2019-01-02 14:10,2019-01-02 14:11,A350,369,278,227,46,5,N,,1,Y
1014,JL7188,2019-01-02,NRT,SIN,2019-01-02 12:00,2019-01-02 12:10,2019-01-02 19:00,2019-01-02 19:17,B787-9,312,244,194,43,7,N,,17,N
1015,JL0602,2019-01-02,NRT,LAX,2019-01-02 16:00,2019-01-02 16:45,2019-01-03 03:00,2019-01-03 03:57,B777-300,244,203,129,67,7,N,,57,N
1016,JL0038,2019-01-02,NRT,JFK,2019-01-02 12:15,2019-01-02 12:30,2019-01-03 01:15,2019-01-03 01:25,B777-300,244,207,131,69,7,N,,10,Y
1017,JL0223,2019-01-02,HND,HKG,2019-01-02 14:00,2019-01-02 14:45,2019-01-02 18:00,2019-01-02 18:49,B787-8,291,230,195,35,0,N,,49,N
1018,JL7821,2019-01-02,NRT,HNL,2019-01-02 14:00,2019-01-02 14:30,2019-01-02 21:30,2019-01-02 22:05,A350,369,268,219,45,4,N,,35,N
1019,JL7740,2019-01-02,NRT,SYD,2019-01-02 09:00,2019-01-02 09:02,2019-01-02 19:00,2019-01-02 19:15,B787-9,312,225,179,40,6,N,,15,Y
1020,JL0809,2019-01-02,HND,PVG,2019-01-02 18:15,2019-01-02 18:15,2019-01-02 21:15,2019-01-02 21:25,B767,261,192,174,18,0,N,,10,Y
1021,JL0578,2019-01-03,HND,CTS,2019-01-03 12:15,2019-01-03 12:35,2019-01-03 13:45,2019-01-03 14:06,A350,369,296,242,49,5,N,,21,N
1022,JL0148,2019-01-03,HND,ITM,2019-01-03 13:45,2019-01-03 13:45,2019-01-03 14:45,2019-01-03 14:47,B787-8,291,231,196,35,0,N,,2,Y
1023,JL0330,2019-01-03,HND,FUK,2019-01-03 15:15,2019-01-03 15:15,2019-01-03 16:55,2019-01-03 16:52,A350,369,276,225,46,5,N,,-3,Y
1024,JL7166,2019-01-03,NRT,SIN,2019-01-03 09:30,2019-01-03 10:15,2019-01-03 16:30,2019-01-03 17:25,B787-9,312,228,182,40,6,N,,55,N
1025,JL7374,2019-01-03,NRT,BKK,2019-01-03 15:45,2019-01-03 15:47,2019-01-03 22:15,2019-01-03 22:27,B787-9,312,231,184,41,6,N,,12,Y
1026,JL0055,2019-01-03,NRT,JFK,2019-01-03 12:45,2019-01-03 12:45,2019-01-04 01:45,2019-01-04 02:00,B777-300,244,177,112,59,6,N,,15,Y
1027,JL0444,2019-01-03,NRT,LHR,2019-01-03 18:00,2019-01-03 18:02,2019-01-04 06:00,2019-01-04 06:03,B777-300,244,190,119,64,7,N,,3,Y
1028,JL0236,2019-01-03,HND,HKG,2019-01-03 13:15,2019-01-03 13:15,2019-01-03 17:15,2019-01-03 17:24,B787-8,291,246,209,37,0,N,,9,Y
1029,JL7870,2019-01-03,NRT,HNL,2019-01-03 19:00,2019-01-03 19:00,2019-01-04 02:30,2019-01-04 02:32,A350,369,290,237,48,5,N,,2,Y
1030,JL0808,2019-01-03,HND,PVG,2019-01-03 08:45,2019-01-03 08:45,2019-01-03 11:45,2019-01-03 11:52,B767,261,218,197,21,0,N,,7,Y
1031,JL0555,2019-01-04,HND,CTS,2019-01-04 17:45,2019-01-04 17:45,2019-01-04 19:15,2019-01-04 19:16,A350,369,330,271,54,5,N,,1,Y
1032,JL0170,2019-01-04,HND,ITM,2019-01-04 06:30,2019-01-04 06:30,2019-01-04 07:30,2019-01-04 07:26,B787-8,291,238,202,36,0,N,,-4,Y
1033,JL0321,2019-01-04,HND,FUK,2019-01-04 06:00,2019-01-04 06:00,2019-01-04 07:40,2019-01-04 07:37,A350,369,312,255,52,5,N,,-3,Y
1034,JL7132,2019-01-04,NRT,SIN,2019-01-04 15:00,2019-01-04 15:30,2019-01-04 22:00,2019-01-04 22:27,B787-9,312,250,199,44,7,N,,27,N
1035,JL7334,2019-01-04,NRT,BKK,2019-01-04 09:30,2019-01-04 09:32,2019-01-04 16:00,2019-01-04 16:05,B787-9,312,255,203,45,7,N,,5,Y
1036,JL0097,2019-01-04,NRT,JFK,2019-01-04 20:00,2019-01-04 20:00,2019-01-05 09:00,2019-01-05 09:09,B777-300,244,195,123,65,7,N,,9,Y
1037,JL0265,2019-01-04,HND,HKG,2019-01-04 10:15,2019-01-04 10:22,2019-01-04 14:15,2019-01-04 14:19,B787-8,291,223,189,34,0,N,,4,Y
1038,JL7891,2019-01-04,NRT,HNL,2019-01-04 10:00,2019-01-04 10:45,2019-01-04 17:30,2019-01-04 18:27,A350,369,301,246,50,5,N,,57,N
1039,JL7718,2019-01-04,NRT,SYD,2019-01-04 10:00,2019-01-04 10:00,2019-01-04 20:00,2019-01-04 20:12,B787-9,312,235,188,41,6,N,,12,Y
1040,JL0588,2019-01-05,HND,CTS,2019-01-05 16:30,2019-01-05 16:50,2019-01-05 18:00,2019-01-05 18:30,A350,369,326,267,54,5,N,,30,N
1041,JL0336,2019-01-05,HND,FUK,2019-01-05 06:00,2019-01-05 06:07,2019-01-05 07:40,2019-01-05 07:46,A350,369,288,235,48,5,N,,6,Y
1042,JL0971,2019-01-05,HND,OKA,2019-01-05 17:45,2019-01-05 18:05,2019-01-05 20:15,2019-01-05 20:30,B777-200,312,278,225,46,7,N,,15,Y
1043,JL0220,2019-01-05,HND,NGO,2019-01-05 14:00,2019-01-05 14:07,2019-01-05 14:50,2019-01-05 15:10,B737,165,133,123,10,0,N,,20,N
1044,JL7306,2019-01-05,NRT,BKK,2019-01-05 20:30,2019-01-05 20:32,2019-01-06 03:00,2019-01-06 03:04,B787-9,312,239,191,42,6,N,,4,Y
1045,JL0653,2019-01-05,NRT,LAX,2019-01-05 15:15,2019-01-05 15:17,2019-01-06 02:15,2019-01-06 02:17,B777-300,244,204,129,68,7,N,,2,Y
1046,JL0004,2019-01-05,NRT,JFK,2019-01-05 08:30,2019-01-05 08:40,2019-01-05 21:30,2019-01-05 21:42,B777-300,244,203,128,68,7,N,,12,Y
1047,JL0261,2019-01-05,HND,HKG,2019-01-05 09:15,2019-01-05 09:30,2019-01-05 13:15,2019-01-05 13:36,B787-8,291,243,206,37,0,N,,21,N
1048,JL0809,2019-01-05,HND,PVG,2019-01-05 18:30,2019-01-05 18:37,2019-01-05 21:30,2019-01-05 21:52,B767,261,213,193,20,0,N,,22,N
1049,JL0543,2019-01-06,HND,CTS,2019-01-06 06:00,2019-01-06 06:05,2019-01-06 07:30,2019-01-06 07:35,A350,369,331,272,54,5,N,,5,Y
1050,JL0345,2019-01-06,HND,FUK,2019-01-06 17:30,2019-01-06 17:40,2019-01-06 19:10,2019-01-06 19:34,A350,369,279,228,46,5,N,,24,N
1051,JL0925,2019-01-06,HND,OKA,2019-01-06 10:00,2019-01-06 10:10,2019-01-06 12:30,2019-01-06 12:35,B777-200,312,271,219,45,7,N,,5,Y
1052,JL0295,2019-01-06,HND,NGO,2019-01-06 17:15,2019-01-06 17:22,2019-01-06 18:05,2019-01-06 18:20,B737,165,139,129,10,0,N,,15,Y
1053,JL7141,2019-01-06,NRT,SIN,2019-01-06 16:00,2019-01-06 16:05,2019-01-06 23:00,2019-01-06 23:16,B787-9,312,241,192,42,7,N,,16,N
1054,JL7338,2019-01-06,NRT,BKK,2019-01-06 14:15,2019-01-06 14:17,2019-01-06 20:45,2019-01-06 20:55,B787-9,312,240,192,42,6,N,,10,Y
1055,JL0623,2019-01-06,NRT,LAX,2019-01-06 15:30,2019-01-06 15:40,2019-01-07 02:30,2019-01-07 02:52,B777-300,244,185,117,62,6,N,,22,N
1056,JL0478,2019-01-06,NRT,LHR,2019-01-06 16:30,2019-01-06 16:45,2019-01-07 04:30,2019-01-07 04:54,B777-300,244,181,114,61,6,N,,24,N
1057,JL0295,2019-01-06,HND,HKG,2019-01-06 08:00,2019-01-06 08:05,2019-01-06 12:00,2019-01-06 12:16,B787-8,291,235,199,36,0,N,,16,N
1058,JL7831,2019-01-06,NRT,HNL,2019-01-06 16:30,2019-01-06 16:32,2019-01-07 00:00,2019-01-07 00:03,A350,369,264,216,44,4,N,,3,Y
1059,JL7779,2019-01-06,NRT,SYD,2019-01-06 19:00,2019-01-06 19:15,2019-01-07 05:00,2019-01-07 05:23,B787-9,312,250,199,44,7,N,,23,N
1060,JL0850,2019-01-06,HND,PVG,2019-01-06 13:45,2019-01-06 13:47,2019-01-06 16:45,2019-01-06 16:46,B767,261,185,167,18,0,N,,1,Y
1061,JL0599,2019-01-07,HND,CTS,2019-01-07 20:00,2019-01-07 20:10,2019-01-07 21:30,2019-01-07 21:42,A350,369,329,270,54,5,N,,12,Y
1062,JL0107,2019-01-07,HND,ITM,2019-01-07 14:15,2019-01-07 14:15,2019-01-07 15:15,2019-01-07 15:24,B787-8,291,236,200,36,0,N,,9,Y
1063,JL0372,2019-01-07,HND,FUK,2019-01-07 15:30,2019-01-07 15:45,2019-01-07 17:10,2019-01-07 17:39,A350,369,325,266,54,5,N,,29,N
1064,JL0971,2019-01-07,HND,OKA,2019-01-07 13:15,2019-01-07 13:30,2019-01-07 15:45,2019-01-07 16:09,B777-200,312,243,196,40,7,N,,24,N
1065,JL0299,2019-01-07,HND,NGO,2019-01-07 18:45,2019-01-07 19:30,2019-01-07 19:35,2019-01-07 20:22,B737,165,124,115,9,0,N,,47,N
1066,JL0670,2019-01-07,NRT,LAX,2019-01-07 07:15,2019-01-07 07:15,2019-01-07 18:15,2019-01-07 18:17,B777-300,244,179,113,60,6,N,,2,Y
1067,JL0443,2019-01-07,NRT,LHR,2019-01-07 14:45,2019-01-07 14:55,2019-01-08 02:45,2019-01-08 02:51,B777-300,244,189,119,63,7,N,,6,Y
1068,JL0275,2019-01-07,HND,HKG,2019-01-07 17:00,2019-01-07 17:30,2019-01-07 21:00,2019-01-07 21:37,B787-8,291,250,212,38,0,N,,37,N
1069,JL7854,2019-01-07,NRT,HNL,2019-01-07 14:15,2019-01-07 14:30,2019-01-07 21:45,2019-01-07 22:02,A350,369,290,237,48,5,N,,17,N
1070,JL7786,2019-01-07,NRT,SYD,2019-01-07 16:45,2019-01-07 16:45,2019-01-08 02:45,2019-01-08 02:54,B787-9,312,270,216,47,7,N,,9,Y
1071,JL0851,2019-01-07,HND,PVG,2019-01-07 15:00,2019-01-07 15:00,2019-01-07 18:00,2019-01-07 18:15,B767,261,221,200,21,0,N,,15,Y
1072,JL0359,2019-01-08,HND,FUK,2019-01-08 11:30,2019-01-08 11:40,2019-01-08 13:10,2019-01-08 13:23,A350,369,322,264,53,5,N,,13,Y
1073,JL7345,2019-01-08,NRT,BKK,2019-01-08 09:00,2019-01-08 09:45,2019-01-08 15:30,2019-01-08 16:11,B787-9,312,268,214,47,7,N,,41,N
1074,JL0973,2019-01-08,HND,ICN,2019-01-08 09:45,2019-01-08 09:50,2019-01-08 12:15,2019-01-08 12:26,B767,261,210,190,20,0,N,,11,Y
1075,JL7815,2019-01-08,NRT,HNL,2019-01-08 18:15,2019-01-08 18:20,2019-01-09 01:45,2019-01-09 01:48,A350,369,316,259,52,5,N,,3,Y
1076,JL7749,2019-01-08,NRT,SYD,2019-01-08 12:15,2019-01-08 12:15,2019-01-08 22:15,2019-01-08 22:28,B787-9,312,252,201,44,7,N,,13,Y
1077,JL0588,2019-01-09,HND,CTS,2019-01-09 15:00,2019-01-09 15:30,2019-01-09 16:30,2019-01-09 16:56,A350,369,298,244,49,5,N,,26,N
1078,JL0165,2019-01-09,HND,ITM,2019-01-09 16:30,2019-01-09 16:30,2019-01-09 17:30,2019-01-09 17:38,B787-8,291,220,187,33,0,N,,8,Y
1079,JL0382,2019-01-09,HND,FUK,2019-01-09 20:45,2019-01-09 20:45,2019-01-09 22:25,2019-01-09 22:33,A350,369,303,248,50,5,N,,8,Y
1080,JL0979,2019-01-09,HND,OKA,2019-01-09 18:45,2019-01-09 19:00,2019-01-09 21:15,2019-01-09 21:38,B777-200,312,260,210,43,7,N,,23,N
1081,JL0232,2019-01-09,HND,NGO,2019-01-09 19:00,2019-01-09 19:05,2019-01-09 19:50,2019-01-09 20:04,B737,165,134,124,10,0,N,,14,Y
1082,JL7149,2019-01-09,NRT,SIN,2019-01-09 11:00,2019-01-09 11:15,2019-01-09 18:00,2019-01-09 18:20,B787-9,312,232,185,41,6,N,,20,N
1083,JL7344,2019-01-09,NRT,BKK,2019-01-09 10:30,2019-01-09 10:50,2019-01-09 17:00,2019-01-09 17:15,B787-9,312,231,184,41,6,N,,15,Y
1084,JL0072,2019-01-09,NRT,JFK,2019-01-09 18:15,2019-01-09 18:30,2019-01-10 07:15,2019-01-10 07:45,B777-300,244,190,119,64,7,N,,30,N
1085,JL0932,2019-01-09,HND,ICN,2019-01-09 10:30,2019-01-09 10:45,2019-01-09 13:00,2019-01-09 13:27,B767,261,203,184,19,0,N,,27,N
1086,JL7843,2019-01-09,NRT,HNL,2019-01-09 11:45,2019-01-09 11:50,2019-01-09 19:15,2019-01-09 19:24,A350,369,269,220,45,4,N,,9,Y
1087,JL0598,2019-01-10,HND,CTS,2019-01-10 17:15,2019-01-10 17:17,2019-01-10 18:45,2019-01-10 18:48,A350,369,289,236,48,5,N,,3,Y
1088,JL0198,2019-01-10,HND,ITM,2019-01-10 14:30,2019-01-10 14:30,2019-01-10 15:30,2019-01-10 15:31,B787-8,291,232,197,35,0,N,,1,Y
1089,JL0391,2019-01-10,HND,FUK,2019-01-10 14:15,2019-01-10 14:20,2019-01-10 15:55,2019-01-10 15:56,A350,369,305,250,50,5,N,,1,Y
1090,JL0917,2019-01-10,HND,OKA,2019-01-10 16:45,2019-01-10 16:45,2019-01-10 19:15,2019-01-10 19:10,B777-200,312,254,205,42,7,N,,-5,Y
1091,JL0224,2019-01-10,HND,NGO,2019-01-10 06:30,2019-01-10 06:45,2019-01-10 07:20,2019-01-10 07:33,B737,165,132,122,10,0,N,,13,Y
1092,JL7307,2019-01-10,NRT,BKK,2019-01-10 08:15,2019-01-10 08:45,2019-01-10 14:45,2019-01-10 15:19,B787-9,312,233,186,41,6,N,,34,N
1093,JL0654,2019-01-10,NRT,LAX,2019-01-10 15:15,2019-01-10 15:35,2019-01-11 02:15,2019-01-11 02:42,B777-300,244,190,120,63,7,N,,27,N
1094,JL0055,2019-01-10,NRT,JFK,2019-01-10 10:00,2019-01-10 10:30,2019-01-10 23:00,2019-01-10 23:28,B777-300,244,181,114,61,6,N,,28,N
1095,JL0221,2019-01-10,HND,HKG,2019-01-10 09:15,2019-01-10 09:35,2019-01-10 13:15,2019-01-10 13:32,B787-8,291,225,191,34,0,N,,17,N
1096,JL0961,2019-01-10,HND,ICN,2019-01-10 10:00,2019-01-10 10:02,2019-01-10 12:30,2019-01-10 12:36,B767,261,214,194,20,0,N,,6,Y
1097,JL7888,2019-01-10,NRT,HNL,2019-01-10 09:30,2019-01-10 10:15,2019-01-10 17:00,2019-01-10 17:58,A350,369,317,260,52,5,N,,58,N
1098,JL7770,2019-01-10,NRT,SYD,2019-01-10 09:15,2019-01-10 09:20,2019-01-10 19:15,2019-01-10 19:19,B787-9,312,229,183,40,6,N,,4,Y
1099,JL0896,2019-01-10,HND,PVG,2019-01-10 19:30,2019-01-10 19:45,2019-01-10 22:30,2019-01-10 22:43,B767,261,198,179,19,0,N,,13,Y
1100,JL0535,2019-01-11,HND,CTS,2019-01-11 14:45,2019-01-11 15:00,2019-01-11 16:15,2019-01-11 16:27,A350,369,325,266,54,5,N,,12,Y
1101,JL0178,2019-01-11,HND,ITM,2019-01-11 10:00,2019-01-11 10:00,2019-01-11 11:00,2019-01-11 11:02,B787-8,291,254,216,38,0,N,,2,Y
1102,JL0303,2019-01-11,HND,FUK,2019-01-11 18:30,2019-01-11 19:00,2019-01-11 20:10,2019-01-11 20:36,A350,369,283,231,47,5,N,,26,N
1103,JL0957,2019-01-11,HND,OKA,2019-01-11 20:30,2019-01-11 20:30,2019-01-11 23:00,2019-01-11 23:13,B777-200,312,271,219,45,7,N,,13,Y
1104,JL0261,2019-01-11,HND,NGO,2019-01-11 11:45,2019-01-11 11:52,2019-01-11 12:35,2019-01-11 12:47,B737,165,144,133,11,0,N,,12,Y
1105,JL7189,2019-01-11,NRT,SIN,2019-01-11 13:30,2019-01-11 14:15,2019-01-11 20:30,2019-01-11 21:22,B787-9,312,248,197,44,7,N,,52,N
1106,JL7341,2019-01-11,NRT,BKK,2019-01-11 10:30,2019-01-11 10:30,2019-01-11 17:00,2019-01-11 17:07,B787-9,312,262,209,46,7,N,,7,Y
1107,JL0060,2019-01-11,NRT,JFK,2019-01-11 12:00,2019-01-11 12:02,2019-01-12 01:00,2019-01-12 01:13,B777-300,244,202,128,67,7,N,,13,Y
1108,JL0498,2019-01-11,NRT,LHR,2019-01-11 06:15,2019-01-11 06:20,2019-01-11 18:15,2019-01-11 18:32,B777-300,244,184,116,62,6,N,,17,N
1109,JL0263,2019-01-11,HND,HKG,2019-01-11 07:00,2019-01-11 07:45,2019-01-11 11:00,2019-01-11 11:59,B787-8,291,239,203,36,0,N,,59,N
1110,JL0902,2019-01-11,HND,ICN,2019-01-11 14:45,2019-01-11 14:45,2019-01-11 17:15,2019-01-11 17:17,B767,261,223,202,21,0,N,,2,Y
1111,JL7816,2019-01-11,NRT,HNL,2019-01-11 16:15,2019-01-11 16:30,2019-01-11 23:45,2019-01-12 00:04,A350,369,278,227,46,5,N,,19,N
1112,JL7761,2019-01-11,NRT,SYD,2019-01-11 09:45,2019-01-11 10:05,2019-01-11 19:45,2019-01-11 20:04,B787-9,312,267,213,47,7,N,,19,N
1113,JL0818,2019-01-11,HND,PVG,2019-01-11 19:00,2019-01-11 19:05,2019-01-11 22:00,2019-01-11 22:13,B767,261,218,197,21,0,N,,13,Y
1114,JL0376,2019-01-12,HND,FUK,2019-01-12 15:45,2019-01-12 15:45,2019-01-12 17:25,2019-01-12 17:34,A350,369,293,239,49,5,N,,9,Y
1115,JL0970,2019-01-12,HND,OKA,2019-01-12 12:45,2019-01-12 12:52,2019-01-12 15:15,2019-01-12 15:23,B777-200,312,242,195,40,7,N,,8,Y
1116,JL0253,2019-01-12,HND,NGO,2019-01-12 06:30,2019-01-12 06:45,2019-01-12 07:20,2019-01-12 07:42,B737,165,139,129,10,0,N,,22,N
1117,JL7120,2019-01-12,NRT,SIN,2019-01-12 13:00,2019-01-12 13:00,2019-01-12 20:00,2019-01-12 20:11,B787-9,312,238,190,42,6,N,,11,Y
1118,JL0613,2019-01-12,NRT,LAX,2019-01-12 14:45,2019-01-12 14:45,2019-01-13 01:45,2019-01-13 01:44,B777-300,244,198,125,66,7,N,,-1,Y
1119,JL0434,2019-01-12,NRT,LHR,2019-01-12 11:45,2019-01-12 12:30,2019-01-12 23:45,2019-01-13 00:27,B777-300,244,206,130,69,7,N,,42,N
1120,JL0249,2019-01-12,HND,HKG,2019-01-12 11:45,2019-01-12 12:05,2019-01-12 15:45,2019-01-12 16:01,B787-8,291,217,184,33,0,N,,16,N
1121,JL0937,2019-01-12,HND,ICN,2019-01-12 09:00,2019-01-12 09:10,2019-01-12 11:30,2019-01-12 11:38,B767,261,214,194,20,0,N,,8,Y
1122,JL0108,2019-01-13,HND,ITM,2019-01-13 10:30,2019-01-13 10:37,2019-01-13 11:30,2019-01-13 11:45,B787-8,291,240,204,36,0,N,,15,Y
1123,JL0324,2019-01-13,HND,FUK,2019-01-13 08:15,2019-01-13 08:15,2019-01-13 09:55,2019-01-13 10:09,A350,369,309,253,51,5,N,,14,Y
1124,JL0219,2019-01-13,HND,NGO,2019-01-13 09:45,2019-01-13 10:30,2019-01-13 10:35,2019-01-13 11:23,B737,165,139,129,10,0,N,,48,N
1125,JL7160,2019-01-13,NRT,SIN,2019-01-13 20:30,2019-01-13 21:15,2019-01-14 03:30,2019-01-14 04:27,B787-9,312,243,193,43,7,N,,57,N
1126,JL7376,2019-01-13,NRT,BKK,2019-01-13 10:45,2019-01-13 10:50,2019-01-13 17:15,2019-01-13 17:29,B787-9,312,231,184,41,6,N,,14,Y
1127,JL0662,2019-01-13,NRT,LAX,2019-01-13 07:15,2019-01-13 07:25,2019-01-13 18:15,2019-01-13 18:38,B777-300,244,184,116,62,6,N,,23,N
1128,JL0003,2019-01-13,NRT,JFK,2019-01-13 19:45,2019-01-13 19:50,2019-01-14 08:45,2019-01-14 08:45,B777-300,244,200,127,66,7,N,,0,Y
1129,JL0407,2019-01-13,NRT,LHR,2019-01-13 20:45,2019-01-13 20:50,2019-01-14 08:45,2019-01-14 08:52,B777-300,244,186,118,62,6,N,,7,Y
1130,JL0280,2019-01-13,HND,HKG,2019-01-13 10:15,2019-01-13 11:00,2019-01-13 14:15,2019-01-13 14:58,B787-8,291,236,200,36,0,N,,43,N
1131,JL0957,2019-01-13,HND,ICN,2019-01-13 06:30,2019-01-13 06:30,2019-01-13 09:00,2019-01-13 08:57,B767,261,198,179,19,0,N,,-3,Y
1132,JL7826,2019-01-13,NRT,HNL,2019-01-13 08:30,2019-01-13 08:50,2019-01-13 16:00,2019-01-13 16:31,A350,369,311,255,51,5,N,,31,N
1133,JL0862,2019-01-13,HND,PVG,2019-01-13 18:30,2019-01-13 18:37,2019-01-13 21:30,2019-01-13 21:35,B767,261,188,170,18,0,N,,5,Y
1134,JL0529,2019-01-14,HND,CTS,2019-01-14 19:45,2019-01-14 20:05,2019-01-14 21:15,2019-01-14 21:41,A350,369,296,242,49,5,N,,26,N
1135,JL0996,2019-01-14,HND,OKA,2019-01-14 16:30,2019-01-14 17:00,2019-01-14 19:00,2019-01-14 19:37,B777-200,312,277,224,46,7,N,,37,N
1136,JL0672,2019-01-14,NRT,LAX,2019-01-14 11:15,2019-01-14 12:00,2019-01-14 22:15,2019-01-14 22:57,B777-300,244,191,120,64,7,N,,42,N
1137,JL0084,2019-01-14,NRT,JFK,2019-01-14 12:00,2019-01-14 12:00,2019-01-15 01:00,2019-01-15 00:56,B777-300,244,185,117,62,6,N,,-4,Y
1138,JL0413,2019-01-14,NRT,LHR,2019-01-14 09:15,2019-01-14 09:25,2019-01-14 21:15,2019-01-14 21:34,B777-300,244,210,133,70,7,N,,19,N
1139,JL0270,2019-01-14,HND,HKG,2019-01-14 12:15,2019-01-14 12:25,2019-01-14 16:15,2019-01-14 16:40,B787-8,291,229,194,35,0,N,,25,N
1140,JL0936,2019-01-14,HND,ICN,2019-01-14 06:30,2019-01-14 06:32,2019-01-14 09:00,2019-01-14 09:11,B767,261,195,176,19,0,N,,11,Y
1141,JL7888,2019-01-14,NRT,HNL,2019-01-14 11:30,2019-01-14 11:30,2019-01-14 19:00,2019-01-14 19:07,A350,369,319,261,53,5,N,,7,Y
1142,JL7759,2019-01-14,NRT,SYD,2019-01-14 07:15,2019-01-14 08:00,2019-01-14 17:15,2019-01-14 18:15,B787-9,312,222,177,39,6,N,,60,N
1143,JL0832,2019-01-14,HND,PVG,2019-01-14 08:15,2019-01-14 08:15,2019-01-14 11:15,2019-01-14 11:27,B767,261,194,175,19,0,N,,12,Y
1144,JL0543,2019-01-15,HND,CTS,2019-01-15 18:15,2019-01-15 18:45,2019-01-15 19:45,2019-01-15 20:10,A350,369,331,272,54,5,N,,25,N
1145,JL0170,2019-01-15,HND,ITM,2019-01-15 10:15,2019-01-15 10:15,2019-01-15 11:15,2019-01-15 11:10,B787-8,291,232,197,35,0,N,,-5,Y
1146,JL0376,2019-01-15,HND,FUK,2019-01-15 11:00,2019-01-15 11:00,2019-01-15 12:40,2019-01-15 12:43,A350,369,316,259,52,5,N,,3,Y
1147,JL0996,2019-01-15,HND,OKA,2019-01-15 07:45,2019-01-15 08:00,2019-01-15 10:15,2019-01-15 10:36,B777-200,312,236,191,39,6,N,,21,N
1148,JL0279,2019-01-15,HND,NGO,2019-01-15 06:30,2019-01-15 06:45,2019-01-15 07:20,2019-01-15 07:50,B737,165,123,114,9,0,N,,30,N
1149,JL7152,2019-01-15,NRT,SIN,2019-01-15 12:00,2019-01-15 12:15,2019-01-15 19:00,2019-01-15 19:24,B787-9,312,225,179,40,6,N,,24,N
1150,JL7309,2019-01-15,NRT,BKK,2019-01-15 08:30,2019-01-15 09:00,2019-01-15 15:00,2019-01-15 15:45,B787-9,312,257,205,45,7,N,,45,N
1151,JL0677,2019-01-15,NRT,LAX,2019-01-15 14:30,2019-01-15 14:45,2019-01-16 01:30,2019-01-16 01:56,B777-300,244,177,112,59,6,N,,26,N
1152,JL0084,2019-01-15,NRT,JFK,2019-01-15 16:15,2019-01-15 16:25,2019-01-16 05:15,2019-01-16 05:34,B777-300,244,189,119,63,7,N,,19,N
